scenario_provider,scenario,total_records,technology_count,technologies_included,records_with_gapfilling,records_without_gapfilling,gapfill_percentage,costs_gapfilled_count,costs_gapfilled_percentage,efficiency_lifetime_gapfilled_count,efficiency_lifetime_gapfilled_percentage,fuel_price_gapfilled_count,fuel_price_gapfilled_percentage,scenario_price_gapfilled_count,scenario_price_gapfilled_percentage,unique_gapfill_patterns,most_common_gapfill_pattern,technologies_with_positive_ebitda,total_technologies_in_scenario,technologies_with_positive_ebitda_percentage,unique_countries,year_range_start,year_range_end,scenario_type,scenario_geography
AIM/CGE 2.2,EN_INDCi2030_1200f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,45,2.66,21,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_1400,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,15,0.89,21,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_1400f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,0,0.0,15,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_1600,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,0,0.0,14,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_1600f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,0,0.0,14,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_1800,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,0,0.0,14,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_1800f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,0,0.0,14,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_800f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1027,60.7,1692,100.0,1296,76.6,60,3.55,20,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2030_900f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1027,60.7,1692,100.0,1296,76.6,60,3.55,20,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_INDCi2100,1650,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1650,0,100.0,978,59.27,1650,100.0,1254,76.0,0,0.0,14,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
